REF,SITE_NAME,LAT,LON,ALT
AHT,Ahtari, 62.58, 24.20, 180
ADR,Adrigole,  51.68,  -9.73, 50
ALT,Alert,  82.45, -62.52, 210
ALG,Algoma,  47.03, -84.38, 411
AMS,Amsterdam Island, -37.80,  77.53, 70
ANG,Angra do Heroismo,  38.67, -27.22, 74
AMY,Anmyeon-do,  36.53, 126.32, 46
ABP,Arembepe, -12.77, -38.17, 0
AMT,Argyle,  45.03, -68.68, 50
ARH,Arrival Heights, -77.80, 166.67, 184
ASC,Ascension Island,  -7.92, -14.42, 91
ASK,Assekrem,  23.27,   5.63, 2710
BEO,BEO Moussala,  42.18,  23.59, 2925
BHD,Baring Head, -41.41, 174.87, 85
BAO,Boulder, 40.05, -105.01, 1577 
BRW,Barrow,  71.32,-156.60, 11
BGU,Begur,  41.97,   3.23, 13
BEJ,Beja,  38.02,  -7.87, 246
BER,Bering Island,  55.20, 165.98, 13
SGI,Bird Island, -54.00, -38.05, 30
BSC,Black Sea,  44.17,  28.67, 3
BRG,Braganca,  41.80,  -6.73, 690
BRA,Bratt's Lake,  50.20,-104.71, 595
BRT,Brotjacklriegel,  48.82,  13.22, 1016
BKT,Bukit Koto Tabang,  -0.20, 100.32, 864
BUR,Burgas,  42.48,  27.48, 16
CAI,Cairo,  30.08,  31.28, 35
CDL,Candle Lake,  53.87,-104.65, 489
CFA,Cape Ferguson, -19.28, 147.05, 2
CGO,Cape Grim, -40.68, 144.68, 94
KUM,Cape Kumukahi,  19.52,-154.82, 3
CMO,Cape Meares,  45.47,-123.97, 30
COI,Cape Ochi-ishi,  43.15, 145.50, 49
CPT,Cape Point, -34.35,  18.48, 230
CRI,Cape Rama,  15.08,  73.83, 60
CSJ,Cape St. James,  51.93,-131.02, 89
CVO,Cape Verde Observatory,  16.85, -24.87, 10
CYA,Casey Station, -66.28, 110.53, 51
CAS,Castelo Branco,  39.83,  -7.47, 386
CHA,Chalk River,  46.07, -77.40, 184
CHM,Chibougamau,  49.68, -74.34, 393
CHR,Christmas Island,   1.70,-157.17, 3
CBA,Cold Bay,  55.20,-162.72, 25
CRZ,Crozet, -46.45,  51.85, 120
DAK,Danki,  54.90,  37.80, 140
DMV,Danum Valley GAW Baseline Station,   4.97, 117.83, 426
DEU,Deuselbach,  49.77,   7.05, 480
DON,Donana,  37.05,  -6.55, 5
DBL,Dobele,  56.37,  23.19, 42
GOZ,Dwejra Point,  36.05,  14.18, 30
ETL,East Trout Lake,  54.35,-104.98, 492
EIC,Easter Island, -27.13,-109.45, 41
EGB,Egbert,  44.23, -79.78, 253
EDM,Eskdalemuir,  55.32,  -3.20, 242
ESP,Estevan Point,  49.38,-126.55, 39
EST,Esther,  51.67,-110.20, 707
PYR,Everest - Pyramid,  27.96,  86.82, 5079
ELA,Experimental Lakes Area,  49.67, -93.72, 369
FIK,Finokalia,  35.34,  25.67, 150
FSD,Fraserdale,  49.88, -81.57, 210
FUN,Funchal,  32.65, -16.88, 58
FDT,Fundata,  45.47,  25.30, 1384
GLH,Giordan Lighthouse,  36.07,  14.22, 167
NMB,Gobabeb, -23.57,  15.02, 408
GSN,Gosan,  33.28, 126.17, 72
ITN,Grifton,  35.35, -77.38, 505
GMI,Guam,  13.43, 144.78, 2
HBA,Halley Bay, -75.57, -26.50, 30
HMM,Hamamatsu,  34.72, 137.72, 29
HFM,Harvard Forest,  42.90, -72.30, 340
HAT,Hateruma,  24.05, 123.80, 10
HUN,Hegyhatsal,  46.95,  16.65, 248
HHE,Hohe Warte,  48.25,  16.37, 202
HPB,Hohenpeissenberg,  47.80,  11.02, 985
HUA,Huancayo, -12.07, -75.53, 4575
LPO,Ile Grande,  48.80,  -3.58, 20
IRB,Iskrba,  45.57,  14.87, 520
ISK,Issyk-Kul,  42.62,  76.98, 1640
IVN,Ivan Sedlo,  43.77,  18.03, 970
