Hydrogen    H   1   0.46  3
1.007825 2.014102 3.016049
Helium      He  2   1.76  4
3.016030 4.002604 5.0123 6.0189
Lithium     Li  3   1.52  5
5.0125 6.01512 7.01600 8.02248 9.02
Beryllium   Be  4   1.12  5
7.01693 8.00530 9.01218 10.01354 11.0216   
Boron       B   5   0.88  6
8.02461 9.01333 10.01293 11.009305 12.01435 13.01778
Carbon      C   6   0.77  6
10.0168 11.01143 12.00000 13.00335 14.003242 15.01060
Nitrogen    N   7   0.71  6
12.0187 13.00573 14.003074 15.00010 16.0060 17.0084
Oxygen      O   8   0.60  6
14.008597 15.00307 15.994915 16.99913 17.999160 19.00358
Fluorine    F   9   0.60  4
17.00210 18.0095 18.99840 19.99999
Neon        Ne  10  1.60  7
18.0057 19.00189 19.992440 20.99384 21.991384 22.99447 23.9936
