001,Ahtari,  62.58,  24.20
002,Adrigole,  51.68,  -9.73
003,Alert,  82.45, -62.52
004,Algoma,  47.03, -84.38
005,Amsterdam Island, -37.80,  77.53
006,Angra do Heroismo,  38.67, -27.22
007,Anmyeon-do,  36.53, 126.32
008,Arembepe, -12.77, -38.17
009,Argyle,  45.03, -68.68
010,Arrival Heights, -77.80, 166.67
011,Ascension Island,  -7.92, -14.42
012,Assekrem,  23.27,   5.63
013,BEO Moussala,  42.18,  23.59
014,Baring Head, -41.41, 174.87
015,Barrow,  71.32,-156.60
016,Begur,  41.97,   3.23
017,Beja,  38.02,  -7.87
018,Bering Island,  55.20, 165.98
019,Bird Island, -54.00, -38.05
020,Black Sea,  44.17,  28.67
021,Braganca,  41.80,  -6.73
022,Bratt's Lake,  50.20,-104.71
023,Brotjacklriegel,  48.82,  13.22
024,Bukit Koto Tabang,  -0.20, 100.32
025,Burgas,  42.48,  27.48
026,Cairo,  30.08,  31.28
027,Candle Lake,  53.87,-104.65
028,Cape Ferguson, -19.28, 147.05
029,Cape Grim, -40.68, 144.68
030,Cape Kumukahi,  19.52,-154.82
031,Cape Meares,  45.47,-123.97
032,Cape Ochi-ishi,  43.15, 145.50
033,Cape Point, -34.35,  18.48
034,Cape Rama,  15.08,  73.83
035,Cape St. James,  51.93,-131.02
036,Cape Verde Observatory,  16.85, -24.87
037,Casey Station, -66.28, 110.53
038,Castelo Branco,  39.83,  -7.47
039,Chalk River,  46.07, -77.40
040,Chibougamau,  49.68, -74.34
041,Christmas Island,   1.70,-157.17
042,Cold Bay,  55.20,-162.72
043,Crozet, -46.45,  51.85
044,Danki,  54.90,  37.80
045,Danum Valley GAW Baseline Station,   4.97, 117.83
046,Deuselbach,  49.77,   7.05
047,Donana,  37.05,  -6.55
048,Dobele,  56.37,  23.19
049,Dwejra Point,  36.05,  14.18
050,East Trout Lake,  54.35,-104.98
051,Easter Island, -27.13,-109.45
052,Egbert,  44.23, -79.78
053,Eskdalemuir,  55.32,  -3.20
054,Estevan Point,  49.38,-126.55
055,Esther,  51.67,-110.20
056,Everest - Pyramid,  27.96,  86.82
057,Experimental Lakes Area,  49.67, -93.72
058,Finokalia,  35.34,  25.67
059,Fraserdale,  49.88, -81.57
060,Funchal,  32.65, -16.88
061,Fundata,  45.47,  25.30
062,Giordan Lighthouse,  36.07,  14.22
063,Gobabeb, -23.57,  15.02
064,Gosan,  33.28, 126.17
065,Grifton,  35.35, -77.38
066,Guam,  13.43, 144.78
067,Halley Bay, -75.57, -26.50
068,Hamamatsu,  34.72, 137.72
069,Harvard Forest,  42.90, -72.30
070,Hateruma,  24.05, 123.80
071,Hegyhatsal,  46.95,  16.65
072,Heimaey,  63.40, -20.28
073,Hohe Warte,  48.25,  16.37
074,Hohenpeissenberg,  47.80,  11.02
075,Huancayo, -12.07, -75.53
076,Ile Grande,  48.80,  -3.58
077,Iskrba,  45.57,  14.87
078,Issyk-Kul,  42.62,  76.98
079,Ivan Sedlo,  43.77,  18.03
080,Izana,  28.30, -16.50
081,Jakarta,  -6.18, 106.83
082,Jarczew,  51.82,  21.98
083,Jubany, -62.23, -58.67
084,Jungfraujoch,  46.55,   7.99
085,K-puszta,  46.97,  19.55
086,Kaashidhoo,   4.97,  73.47
087,Kaitorete Spit, -43.83, 172.63
088,Kamenicki Vis,  43.40,  21.95
089,Kejimkujik,  44.43, -65.20
090,Key Biscayne,  25.67, -80.20
091,Kisai,  36.08, 139.55
092,Kitt Peak,  31.97,-111.60
093,Kloosterburen,  53.40,   6.42
094,Kollumerwaard,  53.33,   6.28
095,Kosetice,  49.58,  15.08
096,Kotelny Island,  76.00, 137.87
097,Kovk,  46.12,  15.10
098,Krvavec,  46.30,  14.53
099,Kyzylcha,  40.87,  66.15
100,La Cartuja,  37.20,  -3.60
101,La Jolla,  32.83,-117.27
102,La Palma,  22.75, -83.53
103,Lac La Biche,  54.95,-112.45
104,Lac La Biche (Alberta),  54.95,-112.45
105,Lampedusa,  35.52,  12.63
106,Lauder, -45.03, 169.67
107,Lazaropole,  41.53,  20.70
108,Leba,  54.75,  17.53
109,Lisboa / Gago Coutinho,  38.77,  -9.13
110,Logrono,  42.45,  -2.50
