#REF,LAT,LON,ALT(m from sea level)
#ALT found using GOOGLE MAPS ALTITUDE API EXTRACTION using alt_process.py
CH001,-32.736201385723376,-71.45085659797451,44.87
CH002,-34.03190711002872,-70.66038843356894,559.3
CH003,-33.43022429253395,-70.72985821990419,501.6
CH004,-20.741511727952574,-70.1792946304193,26.95
CH005,-20.78888252031603,-70.17751991036575,59.74
CH006,-32.92475574033903,-71.5154792163098,76.46
CH007,-32.92083710432544,-71.43982454244185,24.12
CH008,-32.81265134504373,-71.22741158845278,185.1
CH009,-33.95418301860406,-70.63903091289976,593.8
CH010,-33.98060129131598,-70.70430041288616,477.3
CH011,-23.10016743570195,-70.45031838643393,11.07
CH012,-33.02033463838388,-71.55009743159923,18.96
CH013,-34.328431442245666,-70.79327636336191,376.5
CH014,-34.579854945414255,-70.98964846340621,336.3
CH015,-34.39450950468664,-70.85295394130654,330.1
CH016,-33.5439451548146,-70.66383152244887,578.8
CH017,-33.41928116887176,-70.6487270390932,560.6
CH018,-33.373799192035044,-70.52258081060394,798.4
CH019,-33.461207478006905,-70.65816024888632,541.7
CH020,-33.49254948994734,-70.7128964527273,512.2
CH021,-33.51346765169355,-70.58587307288744,598.9
CH022,-33.43487709015941,-70.74790223496053,495.9
CH023,-32.937090758457025,-71.27375165972342,100.1
CH024,-32.89190744073498,-71.2086687127327,141.2
CH025,-32.749140617554346,-72.24636306150394,-2496
